#{"t_start": 1697482867.3824801, "env_id": null}
r,l,t
766.0,1135,2.585815
742.0,1110,4.148172
750.0,1141,5.736439
749.5,1141,6.885232
742.0,1129,8.602308
751.0,1142,10.176942
743.0,1137,11.32376
744.0,1149,12.91304
742.0,1128,14.472831
750.5,1136,15.619302
748.0,1149,17.20013
756.5,1145,18.787909
762.5,1157,19.976932
751.5,1163,21.569904
781.0,1194,23.186913
771.0,1189,24.37277
772.0,1173,25.986898
787.0,1198,27.610958
788.0,1207,29.268324
787.5,1216,30.498842
817.0,1227,32.16191
787.0,1227,33.836962
802.5,1229,35.507258
794.0,1231,36.756821
785.5,1225,38.446087
809.0,1228,40.080911
804.5,1224,41.797747
785.0,1222,43.039189
777.5,1227,44.694305
773.0,1226,46.38942
811.0,1231,47.636561
778.0,1227,49.332817
813.0,1214,50.975504
789.0,1227,52.640365
783.0,1221,53.904843
794.5,1228,55.58318
792.5,1226,57.262201
813.0,1226,58.968885
804.5,1226,60.214336
808.0,1224,61.893471
797.5,1231,63.566819
800.5,1220,65.225034
807.0,1224,66.469765
804.5,1227,68.146748
796.5,1221,69.815284
798.5,1224,71.040951
811.0,1229,72.701705
821.5,1224,74.383398
802.0,1223,76.056032
764.5,1227,77.284821
787.5,1227,78.976381
793.5,1225,80.651002
795.0,1222,82.43259
824.0,1227,83.688375
796.5,1226,85.352051
776.5,1222,87.040632
817.0,1229,88.739183
783.5,1222,90.006901
796.0,1229,91.675673
815.5,1224,93.350408
814.5,1226,94.588293
796.0,1225,96.251127
810.5,1227,97.927862
802.0,1223,99.611419
809.0,1228,100.88218
810.0,1226,102.566789
813.0,1223,104.232449
808.0,1223,105.912217
815.5,1224,107.147109
802.5,1225,108.822829
781.5,1225,110.490623
808.5,1226,112.161346
808.0,1223,113.394295
775.0,1219,115.054045
784.0,1224,116.734782
817.0,1230,118.533043
804.0,1224,119.767874
798.0,1225,121.429521
830.0,1226,123.084395
781.5,1220,124.346276
801.5,1225,126.01893
800.5,1225,127.716556
791.0,1224,129.41331
786.5,1220,130.668175
798.0,1213,132.337004
800.0,1222,134.013602
804.0,1228,135.680214
799.5,1227,136.920031
814.0,1224,138.583737
786.5,1225,140.256559
808.5,1223,141.919182
803.0,1221,143.148016
786.0,1223,144.82974
783.0,1226,146.527309
800.5,1223,147.770192
777.0,1225,149.45671
800.0,1228,151.104396
798.5,1225,152.881756
790.5,1223,154.128661
792.5,1227,155.797307
799.5,1223,157.468981
770.0,1221,159.120713
774.5,1223,160.352442
808.0,1225,162.023195
803.5,1220,163.680849
788.5,1220,165.332497
801.5,1228,166.610052
774.0,1223,168.251664
786.0,1225,169.872331
788.0,1223,170.95344
792.0,1232,172.654891
813.5,1230,174.300492
807.5,1220,175.898312
796.0,1218,177.144061
787.5,1222,178.823812
806.0,1227,180.532317
788.0,1224,182.196016
766.5,1226,183.447878
800.0,1226,185.134427
791.0,1223,186.795037
795.0,1225,188.461634
792.0,1213,189.711478
779.0,1226,191.371104
773.0,1222,193.136437
772.0,1226,194.416224
782.0,1224,196.074903
792.5,1225,197.725786
796.0,1234,199.400579
795.0,1227,200.643404
800.0,1228,202.355107
799.5,1226,204.024769
796.5,1226,205.687534
795.5,1224,206.949306
808.5,1226,208.613928
789.5,1225,210.30154
809.0,1226,211.960219
792.5,1225,213.199009
801.0,1226,214.850734
810.0,1221,216.535347
787.5,1226,217.778152
785.5,1222,219.426996
802.5,1229,221.116512
781.5,1229,222.789282
799.5,1226,224.043141
790.0,1226,225.705913
791.0,1225,227.474483
773.0,1225,229.146248
780.0,1225,230.423984
791.0,1227,232.072675
792.0,1222,233.732293
798.5,1223,235.422849
769.5,1229,236.681758
782.5,1224,238.343477
806.5,1229,239.995267
781.5,1227,241.663947
799.0,1224,242.886848
776.0,1221,244.562459
776.0,1216,246.220316
779.5,1225,247.469188
779.5,1233,249.131955
796.5,1226,250.810677
792.0,1246,252.508183
789.0,1225,253.764955
788.5,1223,255.339251
787.0,1231,256.878297
778.5,1239,258.667969
792.0,1226,259.924181
807.5,1230,261.593317
805.5,1218,263.260343
798.0,1223,264.928924
793.0,1224,266.165616
810.0,1226,267.831479
775.0,1230,269.479056
808.0,1234,270.733262
787.5,1224,272.425708
780.5,1225,274.082809
788.5,1236,275.752662
786.5,1241,277.026325
785.5,1231,278.701185
784.0,1220,280.361533
808.5,1228,282.03764
810.5,1231,283.292348
780.0,1227,284.96726
784.0,1227,286.643976
799.0,1228,288.325402
772.5,1229,289.599521
782.0,1228,291.269801
771.0,1222,292.930294
771.5,1228,294.713399
781.5,1235,295.985613
790.0,1228,297.655728
798.5,1224,299.320996
774.5,1227,300.550166
776.0,1230,302.22524
774.5,1221,303.894176
785.5,1226,305.540626
783.5,1236,306.803355
791.0,1224,308.468939
796.0,1231,310.141551
794.5,1226,311.816224
788.5,1227,313.072919
790.5,1217,314.7596
782.5,1227,316.439332
789.5,1230,318.112091
781.5,1225,319.349899
790.0,1223,321.019471
767.5,1227,322.693401
803.0,1229,324.346808
785.0,1227,325.59607
788.0,1226,327.280985
772.5,1227,328.998928
782.0,1227,330.23436
780.0,1227,331.92493
770.0,1229,333.563246
801.0,1224,335.234429
782.5,1228,336.48509
771.0,1227,338.13411
772.0,1226,339.800449
795.5,1235,341.476984
797.5,1226,342.734948
774.0,1229,344.402277
788.0,1228,346.064267
791.5,1227,347.731659
793.5,1229,349.001262
806.0,1228,350.662974
775.0,1223,352.338427
799.0,1227,353.604879
778.5,1226,355.272231
786.5,1225,356.964536
786.5,1230,358.650804
782.5,1224,359.89235
778.5,1224,361.583797
800.5,1235,363.369463
776.5,1227,365.047327
782.0,1223,366.297831
781.5,1242,367.978058
785.5,1221,369.661836
771.5,1225,371.345395
769.5,1226,372.606143
775.5,1233,374.271778
789.5,1229,375.927724
776.0,1217,377.5973
777.5,1227,378.864086
776.5,1229,380.53391
763.0,1225,382.199649
797.0,1220,383.463319
768.5,1217,385.134888
773.0,1227,386.792595
793.0,1220,388.454357
792.5,1228,389.719031
782.0,1225,391.371825
783.0,1229,393.097434
777.0,1226,394.882804
788.5,1223,396.124586
790.5,1222,397.785221
778.0,1229,399.457783
824.0,1224,401.119537
787.5,1220,402.37439
761.5,1221,404.049022
775.0,1225,405.698792
789.0,1226,406.961524
782.5,1225,408.615443
802.0,1226,410.263113
809.5,1230,411.909943
777.5,1229,413.20958
798.5,1224,414.888373
783.0,1225,416.562013
796.0,1229,418.226717
