#{"t_start": 1693786635.938713, "env_id": null}
r,l,t
39.5,62,1.502681
38.5,62,1.840787
38.5,60,1.903619
38.5,62,2.225722
39.5,62,2.559868
39.0,62,2.625661
38.5,62,2.958763
39.0,62,3.28557
38.5,62,3.350396
38.5,62,3.684503
38.5,62,4.015617
38.5,62,4.079351
38.5,62,4.413457
38.5,62,4.744725
38.5,62,4.809552
38.5,62,5.139339
39.0,62,5.486478
39.0,62,5.548327
39.0,62,5.873446
38.5,62,6.204278
38.5,62,6.267096
38.5,62,6.597262
38.5,62,6.927371
39.0,62,6.990228
38.5,62,7.338778
38.5,62,7.664004
39.0,62,7.730846
38.5,62,8.057622
38.5,62,8.382795
38.5,62,8.452601
38.5,62,8.783757
38.5,62,9.109698
39.0,62,9.178438
38.5,62,9.522053
38.5,62,9.911618
39.0,62,9.975472
38.5,62,10.301317
39.0,62,10.626489
39.0,62,10.691374
38.5,62,11.023486
38.5,62,11.347404
39.0,62,11.415224
38.5,62,11.741388
39.0,62,12.071368
38.5,62,12.135235
37.5,62,12.469222
38.5,62,12.800256
38.5,62,12.86508
38.5,62,13.196077
39.0,62,13.647869
38.5,62,13.711785
38.5,62,14.044725
38.5,62,14.377864
38.5,62,14.444687
38.5,62,14.7758
38.5,62,15.105986
39.0,62,15.170826
38.5,62,15.500917
39.0,62,15.836022
38.5,62,15.897856
38.5,62,16.227702
39.0,62,16.558829
38.5,62,16.619654
38.5,62,16.954814
39.0,62,17.309654
38.5,62,17.367504
38.5,62,17.699633
38.5,62,18.033718
38.5,62,18.097234
39.0,62,18.43276
38.5,62,18.761861
38.5,62,18.826687
38.5,62,19.161378
38.5,62,19.523273
38.5,62,19.586182
39.0,62,19.915301
38.5,62,20.243285
38.5,62,20.303154
38.5,62,20.637248
38.5,62,20.979852
38.5,62,21.045664
38.5,62,21.38182
40.0,62,21.715896
38.5,62,21.776733
39.0,62,22.104856
39.0,62,22.434011
38.5,62,22.499835
38.5,62,22.834939
38.5,62,23.166774
38.5,62,23.233595
39.0,62,23.563712
38.5,62,23.893891
38.5,62,23.958718
38.5,62,24.291765
38.5,62,24.622877
39.0,62,24.684741
39.0,62,25.013832
40.0,62,25.353865
38.5,62,25.416768
38.5,62,25.749876
39.5,62,26.176404
39.0,62,26.242243
38.5,62,26.578432
39.0,62,26.897578
39.0,62,26.961438
40.5,62,27.293143
38.5,62,27.648268
38.5,62,27.715169
39.0,62,28.056027
39.5,62,28.388143
38.5,62,28.453013
39.0,62,28.80607
40.0,62,29.141212
40.0,62,29.205042
40.0,62,29.559095
39.5,62,29.886234
39.0,62,29.950132
39.0,62,30.295504
40.0,62,30.632606
39.0,62,30.702418
40.5,62,31.034622
39.0,62,31.382881
39.5,62,31.450689
39.0,62,31.789782
38.5,62,32.123574
39.5,63,32.189533
39.0,62,32.533612
38.5,62,32.87869
39.0,62,32.944515
39.0,62,33.281346
39.5,62,33.628488
38.5,62,33.693335
39.5,62,34.036434
39.0,62,34.375678
40.5,63,34.44249
38.5,62,34.794519
39.0,62,35.122524
39.5,62,35.183341
