#{"t_start": 1694684423.525126, "env_id": null}
r,l,t
5.0,14,2.107405
5.0,14,2.90097
5.0,14,2.911939
5.0,14,3.06553
5.0,14,3.0765
4.0,13,3.23259
5.0,14,3.240568
5.0,14,3.402137
6.0,14,3.413107
5.5,14,3.568691
5.0,14,3.579662
6.5,14,3.735966
5.5,14,3.745939
7.0,14,3.898531
6.0,14,4.061098
6.0,13,4.076058
5.5,13,4.22865
6.0,14,4.244607
6.0,14,4.407172
6.0,14,4.416149
6.0,14,4.581705
6.0,14,4.597662
6.0,14,4.752934
5.5,13,4.767892
6.0,14,4.927465
5.5,13,4.934446
6.0,14,5.095017
6.0,14,5.111973
5.5,13,5.26607
5.5,13,5.281031
5.5,13,5.449089
6.0,14,5.457068
6.0,14,5.620631
6.0,14,5.63559
6.0,14,5.799035
6.0,14,5.951627
5.5,14,5.968582
6.0,14,6.132144
6.0,14,6.140122
6.0,14,6.302688
6.0,14,6.319644
5.5,14,6.473742
5.5,13,6.487705
6.0,14,6.652279
7.0,14,6.668222
6.0,14,6.826296
6.0,14,6.842254
6.0,14,7.003337
4.5,11,7.011317
6.0,14,7.175812
5.5,14,7.19177
5.5,14,7.346357
6.0,14,7.512756
6.0,14,7.527715
6.0,14,7.681305
6.0,14,7.696182
6.0,14,7.85775
4.5,11,7.863734
6.0,14,8.027297
6.0,14,8.043256
5.5,14,8.19891
5.5,13,8.214851
5.5,14,8.378422
6.0,14,8.385403
5.5,14,8.548967
6.0,14,8.567916
5.5,14,8.73322
6.0,14,8.742196
5.5,13,8.901279
5.5,14,9.06136
6.0,14,9.069345
5.5,14,9.233898
5.5,14,9.248859
6.0,14,9.403445
5.5,14,9.420399
5.5,14,9.58496
5.5,14,9.599919
5.5,14,9.75451
5.5,14,9.770473
5.5,13,9.931548
5.5,14,9.939525
5.5,14,10.1016
6.0,14,10.117558
6.0,14,10.272144
6.0,14,10.433713
6.0,14,10.450668
5.5,14,10.603769
6.0,14,10.619725
5.5,14,10.782479
6.0,14,10.798436
6.0,14,10.951028
5.5,14,10.96699
6.0,14,11.130552
5.5,14,11.138526
6.0,14,11.299097
5.5,14,11.315071
6.0,14,11.470639
5.5,14,11.636196
6.0,14,11.65315
5.5,14,11.817729
6.0,14,11.825707
5.5,14,11.989271
6.0,14,12.005543
5.5,14,12.166237
6.0,14,12.182195
6.0,14,12.342692
5.5,14,12.350671
6.0,14,12.513236
6.0,14,12.528195
6.0,14,12.687984
5.5,14,12.842571
6.0,14,12.856533
5.5,14,13.017104
5.5,14,13.02608
5.5,14,13.191638
6.0,14,13.206598
5.5,14,13.359698
5.5,14,13.375655
6.0,14,13.539222
6.0,14,13.554182
5.5,14,13.708591
5.5,14,13.724547
5.5,14,13.886027
6.0,14,14.040618
5.5,14,14.056576
5.5,14,14.217147
5.5,14,14.225125
5.5,14,14.386693
5.5,14,14.403648
5.5,14,14.572197
5.5,14,14.582231
5.5,14,14.746702
5.5,14,14.763656
5.5,14,14.920264
5.5,14,14.938226
5.5,14,15.103523
5.5,14,15.259998
5.5,14,15.278948
5.5,14,15.444116
5.5,14,15.46207
6.0,14,15.622725
5.5,14,15.640635
6.0,14,15.806324
5.5,14,15.817293
5.5,14,15.989806
5.5,14,16.005763
5.5,14,16.176306
5.5,14,16.20124
5.5,14,16.368793
5.5,14,16.536345
5.5,14,16.545321
5.5,14,16.710194
5.5,14,16.728105
5.5,14,16.884767
5.5,14,16.901685
5.5,14,17.067242
5.5,14,17.078226
5.5,14,17.245322
5.5,14,17.262275
5.5,14,17.427903
5.5,14,17.436842
6.0,14,17.603396
5.5,14,17.773981
6.0,14,17.782957
5.5,14,17.94752
5.5,14,17.965469
5.5,14,18.124082
5.5,14,18.141
5.5,14,18.305561
6.0,14,18.321517
5.5,14,18.477537
5.5,14,18.494491
5.5,14,18.663097
5.5,14,18.67408
5.5,14,18.843106
5.5,14,19.009177
5.5,14,19.017156
5.5,14,19.187707
5.5,14,19.204692
5.5,14,19.373204
5.5,14,19.38218
5.5,14,19.549742
5.5,14,19.566727
5.5,14,19.727513
5.5,14,19.744436
5.5,14,19.913976
6.0,14,19.924985
5.5,14,20.098525
5.5,14,20.265105
5.5,14,20.2831
5.5,14,20.441633
5.5,14,20.459587
5.5,14,20.626139
5.5,14,20.635116
5.5,14,20.805546
5.5,14,20.822501
5.5,14,20.981115
5.5,14,20.997072
5.5,14,21.16758
5.5,14,21.183536
5.5,14,21.356112
5.5,14,21.51864
5.5,14,21.535595
5.5,14,21.703679
5.5,14,21.72166
5.5,14,21.905984
5.5,14,21.914973
5.5,14,22.085088
5.5,14,22.103002
5.5,14,22.275051
5.5,14,22.285034
5.5,14,22.456605
5.5,14,22.47352
5.5,14,22.631102
5.5,14,22.8933
5.5,14,22.909221
5.5,14,23.069793
5.5,14,23.085789
5.5,14,23.255805
6.0,14,23.274903
5.5,14,23.432955
5.5,14,23.449907
5.5,14,23.616503
5.5,14,23.626476
5.5,14,23.797732
5.5,14,23.8147
5.5,14,23.974993
5.5,14,24.144803
5.5,14,24.161757
5.5,14,24.328312
5.5,14,24.338285
5.5,14,24.505874
5.5,14,24.522792
5.5,14,24.682339
5.5,14,24.699322
5.5,14,24.86785
5.5,14,24.87682
5.5,14,25.042413
5.5,14,25.059331
5.5,14,25.229912
5.5,14,25.389488
5.5,14,25.406404
5.5,14,25.574006
5.5,14,25.583018
5.5,14,25.750848
6.0,14,25.768798
5.5,14,25.92642
6.0,14,25.944346
5.5,14,26.112885
5.5,14,26.129839
5.5,14,26.289449
5.5,14,26.306391
5.5,14,26.471925
5.5,14,26.637482
5.5,14,26.654465
5.5,14,26.822898
6.0,14,26.83188
6.0,14,26.996695
5.5,14,27.014607
6.0,14,27.182317
5.5,14,27.190293
5.5,14,27.35681
5.5,14,27.374801
6.0,14,27.530068
5.5,14,27.547047
5.5,14,27.715458
5.5,14,27.877273
5.5,14,27.895694
5.5,14,28.05826
5.5,14,28.077209
5.5,14,28.234827
5.5,14,28.250745
5.5,14,28.421289
5.5,14,28.431263
5.5,14,28.597855
5.5,14,28.615769
6.0,14,28.778689
6.0,14,28.797656
6.0,14,28.965749
6.0,14,29.130857
5.5,14,29.141791
5.5,13,29.306351
4.5,11,29.314331
6.0,14,29.47793
5.5,13,29.494886
5.5,13,29.659408
5.5,14,29.676361
5.5,14,29.844218
5.5,13,29.860176
5.5,13,30.023777
6.0,14,30.039718
6.0,14,30.213232
6.0,14,30.223205
7.0,14,30.404744
6.0,14,30.421685
6.0,14,30.588736
6.0,14,30.604693
6.0,14,30.780872
6.0,14,30.793837
6.0,14,30.96707
6.0,14,31.134116
6.0,14,31.155258
7.0,14,31.317588
6.0,14,31.33554
6.0,14,31.503092
6.0,14,31.514064
6.0,14,31.683257
6.0,14,31.70121
6.0,14,31.860823
6.0,14,31.878735
6.0,14,32.067259
6.0,14,32.085183
7.0,14,32.260823
7.0,14,32.431443
7.0,14,32.44843
7.0,14,32.611033
7.0,14,32.629944
7.0,14,32.80238
7.0,14,32.812013
7.0,14,32.980566
7.0,14,32.999511
6.0,14,33.170502
6.0,14,33.181436
7.0,14,33.346993
7.0,14,33.363947
6.5,14,33.525559
7.0,14,33.701828
7.0,14,33.718821
6.0,14,33.878356
7.0,14,33.895311
7.0,14,34.179144
7.0,14,34.196124
7.0,14,34.353675
7.0,14,34.371628
7.0,14,34.541174
7.0,14,34.550187
7.0,14,34.722678
6.0,13,34.739633
7.0,14,34.897212
7.0,14,35.066758
7.0,14,35.086704
7.0,14,35.258293
7.0,14,35.268283
7.0,14,35.435836
7.0,14,35.45279
7.0,14,35.610876
7.0,14,35.630832
7.0,14,35.794794
7.0,14,35.803771
7.0,14,35.972139
7.0,14,35.988096
7.0,14,36.184572
7.0,14,36.348133
7.0,14,36.365128
7.0,14,36.534634
6.0,13,36.543654
7.0,14,36.711914
7.0,14,36.730901
7.0,14,36.890493
7.0,14,36.907408
6.0,13,37.072979
7.0,14,37.08395
7.0,14,37.248627
7.0,14,37.265582
7.0,14,37.432177
7.0,14,37.441154
7.0,14,37.606711
7.0,14,37.772526
7.0,14,37.782463
7.0,14,37.949069
7.0,14,37.96499
7.0,14,38.126571
7.0,14,38.143523
7.0,14,38.310098
7.0,14,38.326024
7.0,14,38.482642
7.0,14,38.498565
7.0,14,38.667112
7.0,14,38.676089
7.0,14,38.889829
7.0,14,39.052942
7.0,14,39.062873
