#{"t_start": 1694685076.3081536, "env_id": null}
r,l,t
2.5,10,2.03602
2.5,10,2.042004
1.5,7,2.88049
1.0,8,2.886512
1.0,8,3.076602
3.0,10,3.083584
1.0,8,3.0916
2.0,9,3.280647
2.5,10,3.287629
2.0,8,3.479151
1.5,8,3.485101
1.0,8,3.493079
1.5,7,3.678587
1.5,8,3.68357
2.0,8,3.871105
2.0,8,3.87609
1.5,7,3.884034
2.0,8,4.072601
2.0,8,4.078586
2.0,8,4.086563
2.0,8,4.272156
2.0,8,4.281146
2.0,8,4.465715
2.0,8,4.471664
2.0,8,4.486623
2.0,8,4.670228
2.0,8,4.684173
2.0,8,4.69012
2.0,8,4.878713
2.0,8,4.89168
2.0,8,5.077159
2.0,8,5.091122
2.0,8,5.097072
2.0,8,5.279581
2.0,8,5.294541
2.0,8,5.300543
2.0,8,5.505976
2.0,8,5.51196
2.0,8,5.697504
2.0,8,5.71043
2.0,8,5.715419
2.0,8,5.907943
2.0,8,5.914924
2.0,8,6.099475
2.0,8,6.111442
2.0,8,6.118425
1.5,8,6.308998
2.0,8,6.313987
2.0,8,6.318933
2.0,8,6.516573
2.0,8,6.521522
2.0,8,6.713633
2.0,8,6.719579
2.0,8,6.724566
2.5,9,6.921938
2.0,8,6.92695
2.0,8,7.121439
2.0,8,7.127387
2.0,8,7.133371
2.0,8,7.325888
2.0,8,7.331841
2.0,8,7.343846
2.0,8,7.53285
3.0,9,7.538867
2.0,8,7.732396
2.0,8,7.73934
1.5,8,7.752304
2.0,8,7.936315
2.0,8,7.942335
2.0,8,8.134448
2.0,8,8.140433
2.0,8,8.153399
2.0,8,8.33591
2.0,8,8.340911
2.0,8,8.353862
2.0,8,8.544353
2.0,8,8.558315
2.0,8,8.740839
2.5,9,8.753857
2.0,8,8.759777
1.5,8,8.94999
2.0,8,8.96296
2.5,9,9.149457
3.0,10,9.165414
2.0,8,9.171399
2.0,8,9.353978
2.0,8,9.366917
2.0,8,9.554497
2.5,9,9.569457
2.0,8,9.574483
3.5,10,9.770506
3.0,8,9.775493
1.5,8,9.960182
2.5,8,9.9751
2.0,8,9.980123
2.0,8,10.171613
2.5,8,10.178565
2.5,9,10.364086
2.5,9,10.377029
2.5,8,10.383009
2.0,8,10.576492
2.0,8,10.582504
2.0,8,10.773636
2.5,8,10.77859
3.0,10,10.784575
2.5,9,10.98454
3.5,10,10.991543
2.5,8,11.185072
4.0,11,11.192017
4.0,11,11.387045
3.0,9,11.393053
3.5,10,11.588493
3.0,9,11.595474
3.5,10,11.791948
4.5,11,11.799929
3.0,10,11.992553
4.5,11,12.001493
3.5,11,12.337193
3.5,9,12.342179
5.0,10,12.357139
4.0,9,12.551663
4.5,10,12.565626
4.0,10,12.75516
5.0,10,12.770106
3.5,9,12.961508
3.5,9,12.977437
4.5,10,13.16598
4.5,10,13.180908
4.5,10,13.370395
5.0,10,13.384361
4.5,10,13.575881
4.0,10,13.589808
3.0,9,13.596797
5.0,10,13.793264
4.0,9,13.799252
4.5,10,13.998843
3.5,9,14.005824
3.5,9,14.20093
4.5,10,14.20788
3.5,9,14.395991
4.5,10,14.410951
3.5,9,14.602092
4.5,10,14.616071
3.5,9,14.624049
4.5,10,14.821552
4.5,10,14.829194
4.5,10,15.032056
4.5,10,15.039994
4.5,10,15.238464
4.5,10,15.245445
5.0,10,15.447903
4.5,10,15.455881
5.0,11,15.670309
5.0,10,15.676293
5.0,10,15.877755
5.0,10,15.885733
5.0,10,16.084465
5.0,10,16.091446
5.0,11,16.293936
4.5,11,16.308895
5.0,11,16.505929
4.5,11,16.520928
5.0,11,16.717906
4.5,11,16.732906
4.5,11,16.928688
5.0,11,16.945647
4.5,11,17.145115
5.0,11,17.161072
4.5,11,17.355552
4.5,11,17.370511
4.5,11,17.571973
5.0,10,17.578987
4.5,11,17.787643
5.0,11,17.795574
5.0,10,18.000838
5.0,11,18.008816
5.0,10,18.212345
5.0,10,18.219363
5.0,10,18.419831
5.0,10,18.42781
5.0,10,18.635425
5.0,11,18.642417
5.0,10,18.845956
5.0,10,18.853935
5.0,10,19.069463
5.0,10,19.076471
5.0,10,19.276935
5.0,10,19.283899
5.0,11,19.486347
5.0,11,19.494326
5.0,10,19.700865
5.0,11,19.709842
5.0,10,19.912339
5.0,10,19.920279
5.0,11,20.12573
4.5,10,20.132711
5.0,10,20.334281
5.0,10,20.340267
5.0,10,20.546713
5.0,10,20.552697
5.0,10,20.755156
5.0,10,20.761143
5.0,11,20.968607
5.0,10,20.981534
5.0,10,21.183053
5.0,10,21.197053
5.0,10,21.393179
5.0,10,21.40714
5.0,10,21.413125
5.0,11,21.618026
5.0,10,21.625026
5.0,10,21.831497
5.0,11,21.838437
5.0,10,22.042794
5.0,10,22.050735
4.5,11,22.254699
4.5,11,22.262704
4.5,11,22.472661
5.0,11,22.669101
5.0,11,22.684076
5.0,10,22.879565
4.5,11,22.895516
5.0,11,23.094989
5.0,11,23.110946
5.0,10,23.317487
5.0,11,23.325442
5.0,10,23.525939
4.5,11,23.534954
5.0,10,23.738546
4.5,11,23.745517
4.5,11,23.941497
5.0,10,23.947519
4.5,11,24.152933
5.0,11,24.159913
4.5,11,24.358383
4.5,11,24.368356
4.5,11,24.56882
5.0,10,24.577798
4.5,11,24.780841
5.0,10,24.795762
5.0,11,24.997075
5.0,11,25.012034
5.0,11,25.208509
5.0,11,25.223469
5.0,11,25.415972
5.0,10,25.430972
5.0,10,25.638378
5.0,10,25.653337
5.0,11,25.846858
4.5,11,25.862779
5.0,11,26.171359
5.0,10,26.186282
5.0,11,26.379764
5.0,11,26.394725
5.0,11,26.591818
5.0,11,26.600753
5.0,11,26.796267
5.0,11,26.804246
5.0,10,26.997974
5.0,11,27.005946
5.0,10,27.209974
5.0,11,27.217935
5.0,10,27.430357
5.0,10,27.437339
5.0,11,27.64279
