#{"t_start": 1694682158.0333226, "env_id": null}
r,l,t
12.0,39,2.895342
10.5,37,2.926263
10.5,36,3.010047
10.5,36,3.039954
10.5,36,3.069879
11.0,37,3.13869
14.0,40,3.179282
13.5,40,3.249095
14.0,41,3.290007
13.5,40,3.35982
16.5,44,3.403703
14.0,41,3.472532
16.0,43,3.514084
14.0,41,3.555972
15.5,43,3.627749
16.0,43,3.670635
14.5,42,3.740449
16.0,43,3.793307
15.5,43,3.865115
16.5,43,3.907003
17.5,44,3.979808
17.5,44,4.022204
17.0,44,4.095009
17.5,44,4.147868
17.5,44,4.220974
18.0,45,4.268846
18.0,44,4.342648
18.5,45,4.398538
18.0,44,4.443379
18.5,45,4.51918
19.0,46,4.567049
18.5,45,4.651822
18.5,45,4.698697
19.5,46,4.778496
19.0,46,4.825399
19.5,46,4.909134
19.0,46,4.955837
18.5,46,5.032039
20.0,46,5.085895
20.0,46,5.164685
19.0,46,5.215556
19.5,47,5.299084
20.0,46,5.345959
20.5,46,5.418764
20.0,46,5.462647
22.0,47,5.544418
20.5,46,5.589297
20.5,47,5.663619
20.5,47,5.722461
20.5,46,5.795266
20.0,47,5.840147
20.0,47,5.921928
19.5,47,5.966808
20.5,46,6.039613
21.0,46,6.092472
21.0,46,6.167224
19.5,47,6.212104
20.5,46,6.292888
20.0,46,6.337768
20.0,46,6.409576
20.0,46,6.459443
18.5,45,6.532248
19.5,46,6.57613
18.5,45,6.647938
19.5,46,6.700798
19.5,46,6.786568
19.0,45,6.834479
19.0,45,6.915224
18.5,44,6.957112
19.5,45,7.026925
19.0,45,7.069028
20.0,45,7.143367
18.5,45,7.196253
19.0,45,7.268282
19.0,45,7.313162
20.0,45,7.383973
19.0,45,7.436832
20.0,45,7.510661
19.0,45,7.55352
19.0,44,7.627322
20.0,45,7.679183
19.0,45,7.751989
20.0,45,7.794874
19.5,45,7.838757
19.5,45,7.919582
19.5,45,7.96345
19.5,45,8.037253
20.0,45,8.082107
19.5,45,8.166984
19.0,45,8.211839
19.5,45,8.289658
20.0,45,8.335546
19.5,45,8.4183
20.0,45,8.463033
20.0,45,8.536862
19.5,45,8.582746
19.5,45,8.666502
20.0,45,8.713377
18.5,46,8.81215
20.5,45,8.857499
20.0,45,8.939319
19.5,45,8.986263
20.0,47,9.062639
20.5,45,9.117494
19.5,46,9.192471
19.0,45,9.239313
20.0,45,9.317135
20.0,46,9.37296
20.0,51,9.450778
22.0,53,9.509589
21.0,50,9.588379
22.5,52,9.64822
22.0,53,9.735989
22.0,49,9.783856
20.0,50,9.871622
20.0,47,9.948417
23.0,51,9.99939
23.0,52,10.086198
20.0,51,10.146001
19.0,47,10.223028
22.5,52,10.282855
21.0,46,10.361615
22.5,48,10.408529
19.0,48,10.493304
21.5,50,10.542173
22.5,48,10.625988
21.5,53,10.679583
20.0,48,10.764177
22.0,56,10.820063
22.0,57,10.910212
19.5,51,10.998063
22.5,54,11.057871
20.0,55,11.141688
19.5,53,11.201488
21.5,54,11.292245
21.0,57,11.376021
23.0,62,11.448826
20.5,53,11.528639
19.0,62,11.594484
22.0,64,11.706185
22.0,65,11.799935
20.0,65,11.898322
20.5,64,11.966031
22.5,65,12.062826
21.0,64,12.168508
21.0,63,12.235368
22.0,65,12.327084
22.0,64,12.421341
22.5,59,12.483174
22.5,61,12.574954
20.5,59,12.667709
22.0,58,12.730541
21.5,64,12.828279
21.5,58,12.919037
21.5,60,12.981869
22.5,61,13.073623
21.0,59,13.165414
23.0,60,13.230893
23.5,60,13.32564
22.0,58,13.388512
22.0,56,13.481312
22.5,58,13.572036
23.5,58,13.635916
22.5,58,13.728615
22.5,56,13.812276
22.0,56,13.873176
23.0,49,13.962901
22.0,55,14.014761
23.5,55,14.105519
21.5,58,14.169442
22.0,57,14.258205
23.0,59,14.352951
21.0,56,14.414829
24.0,59,14.505543
22.0,56,14.588358
23.0,58,14.650156
23.0,58,14.74396
21.5,57,14.80778
22.5,56,14.89851
24.5,55,14.986855
23.5,58,15.051501
23.0,58,15.13532
22.5,56,15.196926
24.5,58,15.289715
23.5,52,15.380481
23.5,56,15.450294
23.5,57,15.535858
24.5,58,15.600348
24.0,58,15.688113
24.0,54,15.771889
23.0,57,15.832727
23.5,54,15.906529
23.5,57,15.962407
24.0,58,16.05117
22.5,53,16.140904
22.0,51,16.191767
23.0,54,16.28053
24.0,57,16.341203
24.0,52,16.430932
23.5,49,16.479801
24.5,55,16.571556
25.0,56,16.660909
24.0,55,16.713003
24.0,52,16.810766
21.0,56,16.873595
22.5,55,16.95638
22.5,57,17.045143
24.0,54,17.106046
23.5,56,17.198088
24.0,54,17.24995
23.0,54,17.342249
24.0,54,17.435999
25.0,54,17.495874
24.0,52,17.577656
24.5,52,17.637512
24.0,54,17.717314
25.5,56,17.779117
23.0,54,17.869875
25.0,55,17.95365
24.0,55,18.006509
25.5,53,18.094274
24.0,54,18.156109
23.5,54,18.24379
24.5,56,18.327568
24.0,54,18.388398
22.0,54,18.478178
24.5,57,18.539952
23.5,56,18.620749
23.5,57,18.712504
24.0,55,18.775336
25.0,55,18.865767
24.5,56,18.92567
24.5,54,19.007199
23.5,57,19.09693
22.5,54,19.156309
23.0,54,19.238751
23.5,54,19.298563
25.0,55,19.388323
24.0,55,19.450159
24.5,52,19.529945
24.5,55,19.618767
23.5,54,19.679641
23.0,51,19.757397
24.0,54,19.818265
25.5,53,19.906997
24.0,52,19.958859
24.5,54,20.045655
24.5,52,20.134438
25.0,56,20.190014
21.5,52,20.276782
24.5,54,20.335688
25.5,54,20.417456
25.5,52,20.476357
25.0,56,20.564166
25.5,56,20.655451
25.0,57,20.708309
24.0,54,20.797071
25.0,53,20.856956
25.5,53,20.938693
25.5,55,21.026497
25.0,50,21.084304
25.5,56,21.167119
25.5,55,21.226935
25.5,53,21.317712
25.5,55,21.37853
25.5,55,21.459315
25.0,53,21.549074
25.5,56,21.640866
24.0,54,21.723431
23.5,54,21.790252
24.0,54,21.87702
24.5,55,21.966475
24.0,55,22.021051
24.0,55,22.108824
23.5,54,22.168745
25.5,56,22.254515
25.0,56,22.336297
25.5,53,22.393186
24.5,56,22.481907
25.5,55,22.543771
23.5,55,22.622553
24.0,54,22.680399
25.0,55,22.765172
24.5,56,22.863908
23.5,50,22.908788
25.5,56,22.992601
25.5,55,23.052989
25.0,54,23.135078
24.5,56,23.224011
24.5,55,23.285904
25.5,55,23.375664
25.0,56,23.429684
25.0,55,23.519417
25.5,55,23.610173
25.5,55,23.671011
24.0,54,23.750839
24.5,52,23.809681
25.5,53,23.899827
25.5,55,23.950899
24.5,53,24.038149
25.5,53,24.123921
25.5,53,24.176511
24.0,52,24.264274
24.0,54,24.325087
25.5,55,24.402879
25.5,55,24.463751
25.5,55,24.550526
25.5,53,24.639247
25.5,53,24.691108
25.0,55,24.779871
25.5,53,24.839822
25.5,55,24.921646
24.5,55,25.012919
25.5,53,25.070807
24.5,53,25.15314
25.5,55,25.212049
25.5,55,25.30085
25.5,54,25.362685
25.5,53,25.441509
25.5,55,25.58025
25.5,55,25.642084
25.5,55,25.730885
25.5,55,25.781711
25.5,55,25.872496
25.5,53,25.961271
25.5,53,26.010101
25.0,50,26.0949
25.5,55,26.155711
25.5,55,26.23851
25.5,55,26.29835
25.5,55,26.38811
25.5,55,26.476909
25.5,55,26.529732
25.5,53,26.617529
25.5,53,26.677946
