#{"t_start": 1694685686.9373887, "env_id": null}
r,l,t
49.0,132,2.726104
25.5,94,2.814866
25.0,93,3.139506
26.0,95,3.246053
25.0,93,3.689098
25.0,93,3.78502
25.0,93,3.886711
25.0,93,4.201869
25.0,93,4.295605
26.5,95,4.613776
25.0,93,4.71447
25.5,93,4.809825
25.0,93,5.124159
25.0,93,5.22788
25.0,93,5.531504
26.0,94,5.63426
25.0,93,5.736036
25.0,93,6.043205
26.0,94,6.146949
25.0,93,6.460543
26.5,95,6.56488
27.0,96,6.660768
25.5,94,7.011
26.0,94,7.112501
25.0,93,7.421039
26.0,94,7.529752
27.0,95,7.638476
27.0,96,7.951624
26.5,95,8.051356
26.5,95,8.368022
26.0,94,8.470757
26.0,94,8.575664
26.5,95,8.882068
25.0,93,8.983886
25.0,93,9.316275
25.0,93,9.412019
25.0,93,9.532098
25.0,93,9.844289
25.0,93,9.939013
26.0,94,10.041794
27.5,96,10.356669
26.0,94,10.450721
29.0,98,10.777496
27.5,95,10.882371
27.5,95,10.985739
28.0,97,11.311073
26.0,94,11.408815
27.5,95,11.721977
27.5,95,11.8257
27.5,95,12.137923
29.0,97,12.234663
27.0,95,12.33903
27.5,96,12.652634
27.5,95,12.753363
27.5,95,13.062537
27.0,95,13.163267
27.0,95,13.267052
27.5,95,13.586085
27.5,96,13.689823
27.0,96,14.001064
27.5,96,14.104863
27.5,96,14.20821
26.5,94,14.522514
29.5,100,14.629227
29.5,100,14.946383
26.5,95,15.043123
26.5,95,15.146843
27.0,95,15.464374
27.0,96,15.57008
25.0,93,15.87327
25.5,93,15.973003
25.0,93,16.076726
27.5,98,16.392595
28.0,97,16.492332
27.0,95,16.806489
29.0,101,16.914208
29.0,101,17.020948
27.0,98,17.338333
28.0,97,17.443053
28.0,100,17.776162
28.0,97,17.877889
28.5,100,18.202258
26.5,95,18.308076
29.0,102,18.416843
29.5,102,18.732998
29.5,103,18.840126
29.5,105,19.162277
30.5,105,19.27273
28.0,100,19.592871
29.5,101,19.69955
27.5,98,19.804302
27.5,99,20.119471
29.0,100,20.227184
29.0,99,20.551483
31.0,102,20.659358
29.5,100,20.773572
32.0,105,21.106182
28.0,98,21.209904
30.0,103,21.529175
30.0,103,21.640916
29.5,102,21.959569
31.5,106,22.071496
32.0,105,22.388179
32.0,105,22.506903
33.5,108,22.619604
32.5,108,22.948814
32.5,107,23.060565
33.0,110,23.406882
33.5,108,23.52559
32.5,109,23.850081
32.5,109,23.969724
32.5,107,24.286704
32.0,107,24.401439
32.0,107,24.732549
31.0,105,24.841292
32.0,107,24.952716
28.5,103,25.271869
31.5,106,25.390973
30.0,105,25.714625
31.0,106,25.824921
31.0,106,26.157029
31.0,105,26.266834
31.0,106,26.588221
31.0,106,26.698887
31.0,106,26.818573
31.0,106,27.146591
31.0,106,27.255799
31.0,106,27.586774
31.0,105,27.699473
31.0,106,28.028592
31.0,106,28.147305
30.0,105,28.473785
30.0,105,28.584556
31.0,106,28.69391
31.0,106,29.025568
31.0,106,29.137233
31.0,106,29.457377
29.5,108,29.576087
31.0,106,29.902937
33.0,115,30.029608
33.0,116,30.360261
33.5,112,30.482894
31.5,108,30.807028
31.0,108,30.926707
33.0,115,31.263806
33.0,115,31.379218
33.0,115,31.503886
31.0,112,31.838567
32.0,114,31.955295
29.5,110,32.286415
32.5,114,32.409087
29.5,110,32.735252
35.0,117,32.861918
35.5,122,33.210568
36.5,124,33.340929
38.0,122,33.680997
36.5,123,33.817632
35.0,117,34.152438
35.5,123,34.290366
35.0,120,34.630457
40.0,123,34.758116
39.0,124,35.191682
41.5,125,35.542769
39.5,126,35.67342
42.0,131,36.039405
43.0,127,36.172051
43.5,128,36.525614
46.0,130,36.658231
43.5,128,37.01693
43.5,127,37.150573
45.0,131,37.507434
43.0,129,37.642111
43.0,127,38.003651
44.5,131,38.145377
45.0,131,38.497222
44.5,131,38.854772
45.5,132,38.999376
48.5,137,39.35427
49.5,136,39.500879
49.5,138,39.85856
45.0,126,39.994262
45.5,126,40.342412
50.5,136,40.70248
44.5,126,40.834128
49.5,137,41.207639
46.0,126,41.338634
45.5,126,41.679142
49.5,136,41.825734
46.0,132,42.183179
45.5,126,42.318647
49.5,137,42.676733
45.5,126,42.811427
50.5,137,43.169592
46.0,125,43.512414
50.0,137,43.661708
47.0,125,44.009778
46.5,126,44.151399
46.5,125,44.497485
46.0,125,44.632113
45.5,126,44.973242
