#{"t_start": 1693879191.1587129, "env_id": null}
r,l,t
1.0,8,1.195814
1.5,8,1.203821
1.5,8,1.775297
1.5,7,1.782278
2.5,8,1.790257
1.0,8,2.0735
1.5,8,2.081479
3.0,8,2.092449
1.5,8,2.367713
2.0,7,2.3747
1.5,7,2.683902
1.5,7,2.690849
2.5,8,2.698868
1.5,7,2.9711
2.0,9,2.980115
2.5,9,2.990062
1.5,7,3.264362
1.5,7,3.271403
1.5,7,3.280341
1.5,7,3.551641
1.5,7,3.557649
1.5,7,3.566598
1.0,9,3.843857
1.5,7,3.852834
1.0,8,4.131089
1.5,8,4.138071
2.5,8,4.14807
1.5,7,4.4263
1.5,7,4.434278
1.5,7,4.44126
1.5,7,4.870114
1.5,7,4.880124
2.5,8,4.888077
1.5,7,5.167319
1.0,9,5.179287
1.5,7,5.185271
2.0,9,5.465543
1.5,8,5.472503
2.5,8,5.755746
1.5,7,5.765719
1.5,7,5.772701
3.0,9,6.060931
1.5,7,6.067911
2.5,8,6.074893
1.5,9,6.358248
1.5,7,6.365174
2.0,7,6.644428
2.5,8,6.654401
1.5,7,6.661461
1.5,7,6.942683
1.0,8,6.950663
1.5,7,6.958642
1.5,7,7.2359
1.5,7,7.241884
1.5,7,7.247868
1.5,7,7.527121
1.5,7,7.534103
1.5,7,7.540087
1.5,7,7.81934
1.5,7,7.825324
1.5,7,7.832332
1.5,8,8.116546
1.5,8,8.125528
1.5,7,8.133501
1.5,7,8.411798
1.5,7,8.418779
1.5,7,8.427784
1.5,7,8.710009
2.0,7,8.716984
1.5,7,8.725991
1.5,7,9.011196
1.5,7,9.018177
2.0,7,9.027153
1.5,7,9.305413
1.5,7,9.31239
1.5,7,9.321394
1.0,8,9.599623
2.0,8,9.610593
1.5,8,9.890844
2.0,7,9.897826
1.5,7,9.906801
2.5,8,10.188049
1.5,7,10.19503
1.5,7,10.204014
1.5,7,10.480268
1.5,7,10.488247
1.5,7,10.496226
2.0,7,10.77149
1.5,7,10.779468
1.5,7,10.787447
1.5,8,11.060716
2.5,9,11.071687
2.5,8,11.078668
