#{"t_start": 1693877262.7966597, "env_id": null}
r,l,t
1.5,7,1.146234
1.5,7,1.152218
2.0,8,1.662853
1.0,7,1.669864
1.0,8,1.782102
2.0,8,1.991543
1.5,7,1.99956
2.5,8,2.006468
1.5,7,2.215863
2.0,8,2.223838
1.0,8,2.232842
1.5,7,2.442255
1.5,7,2.449262
1.5,7,2.459236
1.5,7,2.668649
1.5,7,2.674659
1.5,7,2.684374
2.0,8,2.89806
2.0,7,2.904026
1.5,7,2.914027
2.0,8,3.12312
2.0,7,3.133277
1.0,7,3.357677
1.5,7,3.365663
2.5,8,3.374285
3.5,10,3.598685
1.5,9,3.610682
1.0,8,3.822088
1.5,7,3.829069
1.5,7,3.836756
1.5,7,4.151954
1.0,7,4.159905
1.5,7,4.167871
2.0,7,4.380276
1.5,7,4.38723
1.5,7,4.396207
1.5,7,4.607668
2.0,8,4.618639
1.0,8,4.627632
1.0,7,4.838097
1.5,7,4.847045
1.5,7,4.854055
2.5,8,5.067456
1.5,7,5.076458
1.5,7,5.084411
2.0,7,5.315792
1.5,7,5.325662
1.5,7,5.33206
1.5,7,5.545462
1.5,7,5.551216
3.5,11,5.770494
1.5,7,5.779485
2.0,9,5.787412
2.0,9,6.00882
1.5,7,6.015817
3.0,8,6.023751
2.0,8,6.241446
3.5,9,6.249866
1.5,7,6.463336
2.5,8,6.470642
4.0,11,6.482651
2.5,10,6.694048
1.5,7,6.701029
2.0,7,6.915492
2.0,7,6.922498
1.5,7,6.929779
1.5,7,7.139862
1.5,7,7.146854
2.5,8,7.156203
1.5,7,7.398198
1.5,7,7.405179
2.0,7,7.4146
1.5,7,7.62655
1.5,7,7.634538
1.5,7,7.642074
1.5,7,7.852512
1.0,7,7.860372
1.5,7,7.868353
1.5,7,8.07544
2.5,8,8.083637
1.0,7,8.092368
1.0,8,8.305138
1.5,7,8.314442
1.5,7,8.320442
1.5,7,8.533893
2.0,8,8.54375
1.5,7,8.550754
1.5,7,8.768218
2.0,8,8.778179
1.0,7,8.990609
2.0,7,8.997561
2.0,8,9.007565
1.0,7,9.215976
2.0,8,9.22595
2.5,8,9.232931
1.0,7,9.469308
1.5,7,9.479272
1.5,7,9.485255
2.0,7,9.702675
1.0,8,9.712648
1.5,7,9.720626
2.0,8,9.938161
1.5,7,9.945662
1.5,7,9.952663
1.5,7,10.166851
2.5,8,10.175072
1.0,7,10.18305
1.5,7,10.392441
1.5,7,10.398425
1.5,7,10.405414
1.5,9,10.617838
1.5,7,10.625818
1.0,7,10.837251
1.5,7,10.842238
2.0,7,10.850251
1.5,7,11.062675
1.5,7,11.070657
1.5,7,11.077682
0.5,8,11.318008
2.5,8,11.325987
1.5,7,11.33197
1.5,7,11.543432
1.5,7,11.550386
1.5,7,11.558365
2.0,8,11.768839
1.5,7,11.774795
1.5,7,11.785064
3.0,9,11.995296
1.5,7,12.00128
1.5,7,12.011237
1.5,7,12.225889
2.5,8,12.234902
2.5,8,12.451317
1.0,7,12.458297
1.5,7,12.467247
1.5,7,12.678719
2.0,8,12.687355
1.5,7,12.695765
1.5,7,12.90527
1.5,7,12.912609
2.5,8,12.923267
0.5,8,13.135649
1.5,7,13.145632
1.5,7,13.151453
1.5,7,13.450559
1.5,7,13.460225
1.5,7,13.466175
1.5,7,13.690944
1.0,8,13.701916
1.0,7,13.709899
1.5,7,13.921329
2.0,8,13.932301
1.5,8,14.14683
1.0,8,14.15877
2.0,8,14.16552
1.5,7,14.372966
1.5,7,14.381107
1.0,8,14.390077
1.5,7,14.60252
2.0,7,14.611497
2.5,8,14.618518
2.0,8,14.835898
1.5,7,14.841882
1.5,7,14.847866
2.5,8,15.064287
1.5,7,15.071269
1.5,7,15.077253
1.0,8,15.306818
2.0,7,15.313371
1.5,7,15.527081
2.5,8,15.535069
1.0,7,15.541058
1.0,7,15.760471
1.5,7,15.767446
1.5,7,15.774427
1.5,7,15.986886
2.0,8,15.994866
1.5,7,16.001856
1.5,7,16.213254
1.5,9,16.222256
1.5,7,16.233201
1.5,7,16.445659
1.5,7,16.452614
2.0,9,16.463619
1.5,7,16.674804
2.5,8,16.682656
2.5,8,16.901793
1.0,7,16.908664
1.5,7,16.917382
1.5,7,17.127817
1.5,7,17.135772
1.5,7,17.144574
2.0,8,17.397048
1.5,7,17.403947
1.0,7,17.413231
1.5,7,17.624043
1.5,7,17.630996
1.0,7,17.639972
1.5,7,17.850434
1.0,8,17.860172
1.5,7,17.867153
1.5,9,18.085175
1.5,7,18.094133
1.5,7,18.101114
1.0,7,18.308589
1.0,8,18.318534
1.5,7,18.32434
2.0,7,18.535805
1.5,7,18.546325
1.5,7,18.552669
1.5,7,18.765298
1.5,7,18.772303
2.0,8,18.981719
1.5,7,18.991522
1.0,7,18.998431
1.5,7,19.20785
1.5,7,19.217801
1.5,7,19.223808
1.5,7,19.446187
2.0,7,19.455169
1.5,7,19.461147
1.0,7,19.672373
1.0,7,19.680338
1.5,9,19.689457
2.0,9,19.901941
2.5,8,19.909868
1.5,9,20.120305
2.5,8,20.128291
1.5,7,20.135265
1.5,7,20.345703
1.5,7,20.351619
1.5,7,20.359287
1.5,7,20.574434
1.0,7,20.581444
2.5,8,20.588396
1.5,7,20.799881
1.5,7,20.80649
1.5,7,20.812659
1.5,7,21.022522
1.5,7,21.028546
1.5,7,21.037482
2.5,8,21.248917
1.5,7,21.254817
1.5,7,21.264764
1.0,7,21.492559
1.5,7,21.499386
1.0,8,21.509332
2.0,8,21.72378
0.5,8,21.732532
2.5,8,21.947317
