#{"t_start": 1695191732.143504, "env_id": null}
r,l,t
19.5,78,1.576493
18.5,81,1.661295
20.0,77,2.141829
17.5,75,2.224625
24.0,87,2.691409
23.0,82,2.781263
18.5,81,3.385731
23.5,80,3.470504
21.5,82,3.942231
17.5,80,4.03104
23.0,79,4.118779
21.0,80,4.583562
20.5,76,4.658377
19.5,81,5.138847
18.0,80,5.224711
20.0,83,5.693443
20.0,85,5.784963
22.0,81,6.249723
22.5,79,6.337489
23.5,85,6.804989
21.5,85,6.895782
21.5,79,7.357958
20.0,80,7.441733
22.5,79,7.527504
24.5,85,7.994003
19.0,81,8.081784
19.5,80,8.551445
22.5,83,8.643605
26.0,85,9.145568
18.5,82,9.232361
18.0,84,9.69519
21.5,81,9.782678
21.0,83,10.250427
20.0,79,10.337057
19.0,78,10.800034
19.0,79,10.883842
21.0,82,10.974373
20.0,80,11.437208
18.5,82,11.524996
24.0,84,11.995612
21.0,80,12.079453
22.5,79,12.548116
20.5,82,12.635948
21.0,81,13.092429
19.0,76,13.168227
22.0,81,13.627998
21.0,83,13.720793
22.5,81,13.807924
22.5,81,14.358494
18.5,78,14.44227
22.5,81,14.910731
21.0,80,14.999944
24.5,84,15.481417
23.5,85,15.575269
24.0,80,16.051537
20.0,82,16.142285
19.0,81,16.606044
18.0,80,16.694808
21.0,78,16.776359
21.0,84,17.246123
23.0,83,17.336947
22.5,82,17.802511
21.5,79,17.889279
20.0,83,18.354082
16.5,73,18.435863
20.5,84,18.922275
21.0,79,19.005054
20.0,80,19.478788
19.5,79,19.565556
18.5,79,19.650355
21.5,84,20.124488
19.5,85,20.212294
20.0,82,20.682054
22.5,82,20.773596
22.5,82,21.248354
21.5,82,21.334129
24.0,83,21.804838
19.0,76,21.885634
18.5,76,22.348416
26.0,82,22.439205
21.0,84,22.921644
24.0,82,23.014452
22.5,82,23.125173
17.5,77,23.578959
24.0,79,23.662735
17.0,77,24.12723
24.5,81,24.216024
19.0,79,24.777342
23.5,77,24.860684
16.5,77,25.337662
18.0,80,25.418453
23.0,87,25.89073
20.0,82,25.977498
27.5,89,26.068256
22.5,86,26.534037
26.0,87,26.62481
20.5,80,27.097382
19.0,76,27.175173
21.5,81,27.638985
21.5,85,27.728785
21.5,81,28.199202
21.0,77,28.279997
22.0,76,28.744778
18.5,82,28.833531
18.0,75,28.916309
19.0,77,29.405081
23.0,82,29.490913
22.5,86,29.951559
23.0,82,30.041382
22.0,84,30.499158
20.0,80,30.579955
23.0,78,31.045665
25.5,89,31.166351
19.5,77,31.628135
18.0,80,31.713907
21.0,87,32.186453
23.5,84,32.274292
17.5,79,32.745119
22.5,79,32.829912
19.5,83,32.923735
21.5,86,33.401498
23.5,82,33.490264
23.5,82,33.9868
24.0,85,34.082319
26.0,85,34.553095
22.0,80,34.63785
22.0,82,35.104321
22.0,80,35.199068
24.5,85,35.665878
21.5,84,35.749309
19.0,77,36.295848
18.0,76,36.376632
22.0,80,36.46246
24.5,82,36.927263
18.0,75,37.008087
21.5,82,37.481855
20.0,77,37.561641
22.0,86,38.035137
23.5,83,38.12193
19.5,78,38.582378
20.5,80,38.670183
23.0,82,39.147026
16.0,86,39.250749
20.0,80,39.330562
23.5,80,39.789949
22.0,84,39.882743
21.0,77,40.339521
18.5,77,40.425325
18.5,77,40.883744
21.5,81,40.970551
17.5,78,41.432311
20.0,84,41.523065
20.5,80,42.08058
22.5,80,42.165389
21.0,80,42.254112
21.5,83,42.716912
24.0,82,42.803364
21.5,78,43.277123
22.0,80,43.364956
21.0,81,43.823663
19.5,80,43.909435
26.0,82,44.390239
22.0,84,44.482001
20.5,78,44.939582
19.5,82,45.030313
22.0,81,45.11718
21.5,81,45.592984
21.0,78,45.675763
19.0,76,46.130383
21.5,81,46.219146
19.0,81,46.769393
19.5,77,46.851212
21.5,84,47.330928
22.0,77,47.410757
23.0,84,47.887398
18.5,83,47.975135
23.5,85,48.065892
20.5,84,48.523669
20.0,86,48.603456
19.5,81,49.064152
25.0,86,49.166896
23.0,79,49.644618
18.5,79,49.729477
20.5,83,50.19302
20.5,86,50.282825
21.0,79,50.743634
22.0,87,50.837383
17.5,80,51.296232
20.5,83,51.385048
23.0,83,51.845829
16.0,76,51.927667
20.5,82,52.015433
24.5,89,52.475229
20.0,75,52.555069
21.0,80,53.019735
21.0,83,53.107501
21.5,81,53.571039
21.5,81,53.657839
20.5,78,54.131357
24.5,87,54.225108
19.5,84,54.690929
21.5,83,54.777589
20.5,76,55.239366
20.5,80,55.326134
22.5,82,55.415894
23.5,82,55.879426
21.5,82,55.970238
21.0,77,56.514821
21.0,83,56.603584
21.5,82,57.06551
18.0,81,57.153368
21.0,85,57.634125
18.0,79,57.717945
21.0,82,58.17659
23.0,76,58.257343
22.5,74,58.335135
18.5,78,58.798646
18.5,79,58.884457
20.5,83,59.353218
22.5,87,59.455961
19.5,78,59.914206
16.5,79,59.999087
21.5,81,60.464842
22.5,84,60.553693
22.5,81,61.072614
22.5,80,61.161396
20.5,82,61.262155
21.0,80,61.722924
25.5,88,61.817693
19.0,77,62.276427
18.5,80,62.360203
17.5,80,62.813044
22.5,81,62.901811
20.5,78,63.414733
16.5,79,63.498593
21.5,82,63.959148
19.0,79,64.044951
20.5,80,64.130731
19.0,77,64.582604
20.0,77,64.662455
19.5,79,65.128003
20.5,78,65.221783
20.5,81,65.687553
20.5,77,65.769071
20.5,77,66.314607
21.0,80,66.4014
18.5,75,66.48219
21.0,79,66.941666
23.5,83,67.032442
21.0,77,67.499223
24.0,82,67.580037
19.0,81,68.038502
21.5,78,68.121281
22.0,78,68.578151
23.5,81,68.662
18.5,77,68.743458
18.5,77,69.191278
23.0,82,69.286068
19.0,81,69.771595
16.5,81,69.860363
21.0,80,70.322123
20.0,78,70.404904
17.5,77,70.86244
24.0,86,70.958246
19.0,86,71.432007
20.0,83,71.522761
23.5,84,71.988194
24.5,85,72.084935
21.5,77,72.165726
19.0,82,72.628557
22.5,82,72.717352
21.0,81,73.173853
17.5,77,73.266604
22.5,81,73.724381
21.5,83,73.814803
23.0,84,74.274598
17.5,81,74.364376
24.5,83,74.825998
18.0,81,74.910771
17.0,80,74.996574
24.0,80,75.463403
23.5,87,75.556154
19.5,82,76.02462
26.5,88,76.118388
24.0,86,76.586224
18.5,84,76.673042
22.5,82,77.137263
22.0,80,77.223065
