#{"t_start": 1693880418.3182762, "env_id": null}
r,l,t
3.0,9,1.284598
3.0,8,1.292579
1.5,7,1.900951
1.5,7,1.908929
1.5,7,1.91591
2.0,7,2.222092
2.5,8,2.230071
1.5,7,2.236054
1.5,7,2.543234
2.0,7,2.550244
1.5,7,2.560188
2.0,7,2.870369
1.5,7,2.877395
1.5,7,2.886397
1.5,7,3.212526
2.0,8,3.220503
1.5,8,3.231475
2.5,9,3.541663
1.5,7,3.549624
2.5,8,3.851853
1.0,7,3.860795
1.5,7,3.868771
1.0,7,4.186921
3.0,8,4.195934
1.5,7,4.203875
1.5,7,4.506122
1.5,7,4.513081
1.0,7,4.522063
1.5,7,4.825214
2.5,8,4.835187
1.5,7,4.842169
1.5,8,5.164307
1.5,7,5.173283
1.5,7,5.180265
2.0,7,5.488441
2.5,8,5.497417
1.0,8,5.505395
2.0,9,5.812575
3.0,8,5.821582
1.5,7,6.128766
1.5,7,6.137705
1.5,7,6.143689
1.5,7,6.441892
2.5,8,6.449903
2.0,7,6.456884
1.5,7,6.76506
1.5,8,6.775033
2.0,7,6.781018
2.0,7,7.083248
1.5,7,7.091188
1.0,8,7.098207
1.5,8,7.404358
0.5,8,7.41233
2.0,7,7.714522
3.0,10,7.72649
1.5,8,7.732474
2.0,7,8.038666
1.5,7,8.045637
2.5,8,8.05162
1.5,7,8.355809
2.0,7,8.363823
1.0,7,8.372762
1.5,8,8.679978
2.5,8,8.687919
1.5,7,8.996122
3.0,8,9.004074
1.5,8,9.012081
1.5,7,9.33023
1.5,7,9.337211
1.5,7,9.346187
1.5,8,9.756118
2.5,8,9.764101
2.5,8,9.77307
1.5,7,10.081222
1.5,7,10.088203
1.5,8,10.098189
1.5,8,10.403362
1.5,7,10.412346
1.0,7,10.717548
1.5,7,10.724536
1.5,7,10.73449
2.5,8,11.044647
1.5,8,11.052626
1.5,8,11.06163
2.0,7,11.366786
1.0,7,11.375762
2.5,9,11.38374
1.5,7,11.69391
2.0,7,11.704882
1.5,7,11.712861
1.5,7,12.02702
1.0,8,12.036994
1.0,7,12.043975
2.0,8,12.380114
1.0,8,12.388055
1.5,7,12.713238
1.5,7,12.722167
1.5,7,12.729151
1.0,8,13.041343
3.0,9,13.053285
1.5,7,13.061263
1.0,7,13.406341
1.5,7,13.412324
1.0,7,13.417311
1.0,7,13.728505
2.5,7,13.735461
1.0,8,13.744437
1.5,7,14.055631
1.5,7,14.061589
1.5,7,14.069575
1.0,7,14.379738
1.5,7,14.385723
1.5,7,14.393701
1.0,8,14.700879
1.5,7,14.706864
1.5,7,14.714842
3.0,9,15.036993
1.5,7,15.043962
1.0,8,15.352139
1.5,7,15.361115
1.5,7,15.367136
1.0,7,15.679301
1.5,7,15.685286
1.5,7,15.69227
2.5,8,16.003528
1.5,8,16.011562
1.5,7,16.020513
2.0,7,16.334661
1.5,7,16.340646
1.5,7,16.349622
1.5,7,16.6568
3.5,10,16.668769
1.5,7,16.974987
1.5,7,16.982932
2.5,8,16.992902
2.0,8,17.31903
3.0,8,17.327009
2.0,8,17.337979
2.0,7,17.651142
2.5,8,17.661114
1.5,7,17.668103
1.0,7,17.978268
1.5,7,17.987244
1.5,7,17.993227
1.0,8,18.300414
1.0,8,18.309409
1.5,7,18.618556
1.5,8,18.628529
1.5,8,18.63551
2.0,8,18.946681
1.5,8,18.956659
1.0,7,18.963636
1.5,7,19.280812
2.0,7,19.289774
2.5,8,19.29774
1.0,7,19.691714
1.5,7,19.698695
1.5,7,19.706673
2.0,7,20.018865
1.5,7,20.02586
0.5,9,20.336993
1.5,7,20.346997
1.5,7,20.353019
1.0,7,20.661158
1.5,7,20.67113
1.5,7,20.677114
1.5,7,20.992272
1.0,7,21.001247
1.5,7,21.007232
1.5,7,21.340348
3.0,8,21.34832
1.5,7,21.354304
1.5,7,21.667472
1.5,7,21.673451
1.5,8,21.682427
2.0,7,21.992598
1.5,7,21.998581
1.5,7,22.005563
1.0,7,22.317728
1.0,7,22.32471
2.5,8,22.333686
2.0,7,22.639867
1.0,7,22.646849
1.5,7,22.655825
2.0,7,22.959014
1.5,8,22.966032
1.5,7,22.975971
1.5,7,23.29711
2.5,8,23.304092
1.5,7,23.313127
2.0,8,23.624256
1.5,8,23.633232
1.0,8,23.93642
2.0,7,23.943403
1.5,8,23.952379
1.0,7,24.257563
2.0,7,24.264544
1.0,7,24.272522
1.0,8,24.590672
1.5,7,24.59869
2.0,9,24.607627
1.5,7,24.966666
1.0,8,24.97664
1.5,8,25.32471
1.5,8,25.334682
1.0,8,25.342662
1.5,7,25.692726
1.0,7,25.703736
1.0,8,25.710705
3.0,8,26.028876
1.5,7,26.037803
1.0,7,26.045782
1.0,7,26.352989
1.5,7,26.361972
2.0,8,26.37092
1.5,7,26.693052
1.0,8,26.70103
1.5,7,26.70804
1.5,7,27.024197
1.5,7,27.031147
1.5,7,27.038128
2.0,8,27.348332
1.5,7,27.355309
1.5,7,27.66246
1.5,7,27.671444
1.5,7,27.678416
2.0,7,27.986593
3.0,8,27.994571
1.5,7,28.001554
1.0,7,28.31671
1.5,7,28.324689
3.0,8,28.331707
1.5,7,28.64184
1.5,7,28.648823
1.0,8,28.656801
1.5,7,29.055735
2.0,7,29.061718
1.5,8,29.07269
1.5,7,29.388871
1.5,7,29.395826
2.0,7,29.403804
1.5,7,29.735915
1.5,7,29.7419
3.5,8,29.750876
3.0,8,30.069025
1.5,7,30.074012
1.5,7,30.081991
2.5,8,30.38917
1.5,7,30.398146
3.0,8,30.716326
1.0,8,30.723277
1.5,7,30.733292
1.5,7,31.04047
3.0,8,31.048448
1.0,7,31.057458
2.5,8,31.375606
2.5,8,31.385579
1.5,7,31.391564
1.5,7,31.702733
1.0,7,31.711708
1.5,7,31.719687
1.0,7,32.033887
2.0,7,32.042823
1.5,7,32.049812
1.5,7,32.360003
2.0,7,32.369987
2.5,8,32.376959
1.5,7,32.689095
1.5,7,32.696131
1.5,7,32.703113
1.0,8,33.015277
1.5,7,33.023263
1.5,7,33.333426
1.5,7,33.342403
1.5,7,33.348386
1.5,7,33.655652
3.5,8,33.66457
1.0,8,33.672521
1.0,7,33.98672
1.5,7,33.993662
2.5,8,34.000644
2.0,7,34.322781
1.0,7,34.329844
1.5,7,34.335791
2.5,8,34.648956
1.5,8,34.656933
1.5,7,34.662917
1.5,7,34.97209
1.5,7,34.979071
1.5,7,34.988048
2.5,9,35.319163
1.5,8,35.326169
1.0,8,35.640326
2.5,8,35.648283
1.5,7,35.656298
1.5,7,35.962443
1.5,7,35.969424
1.5,7,35.9784
1.0,8,36.284608
2.5,8,36.29256
3.0,8,36.302533
1.5,7,36.611764
1.5,7,36.618785
1.5,8,36.92892
1.5,7,36.935909
1.5,7,36.944888
1.5,7,37.253064
2.0,7,37.259049
2.5,8,37.270018
1.5,7,37.601169
2.5,8,37.608115
1.0,8,37.618088
1.5,7,38.017021
2.0,7,38.026994
1.5,7,38.033976
2.5,9,38.345171
1.0,7,38.35412
1.5,8,38.361101
1.0,8,38.678254
1.5,8,38.687258
1.5,7,39.000393
1.5,7,39.009368
1.0,8,39.01635
1.5,7,39.334527
1.5,7,39.345469
1.5,7,39.353449
2.5,9,39.664643
1.5,7,39.673593
1.5,7,39.680574
2.5,8,39.990787
2.0,7,39.998724
1.0,7,40.004707
1.0,7,40.319901
1.5,7,40.326846
2.0,7,40.333827
3.0,8,40.646042
1.5,7,40.653971
3.0,8,40.963147
2.0,7,40.973168
1.5,7,40.979134
1.5,7,41.288276
1.5,7,41.29426
1.5,7,41.304233
2.5,10,41.616398
2.5,8,41.624377
1.5,7,41.630361
1.5,7,41.940532
1.0,8,41.948511
1.5,7,41.957487
1.5,7,42.26666
1.0,8,42.274639
1.5,7,42.282647
2.5,8,42.597806
2.0,8,42.604787
3.0,8,42.91795
1.5,7,42.924967
2.0,8,42.934904
2.0,7,43.24308
3.5,8,43.250061
1.0,8,43.259037
1.5,7,43.56526
2.0,7,43.573231
1.0,7,43.582174
1.5,7,43.889353
2.0,8,43.899325
1.5,7,43.906307
1.5,7,44.214484
3.0,8,44.224457
1.0,7,44.530638
1.5,7,44.536622
2.5,8,44.545598
2.5,8,44.851779
2.0,8,44.86275
1.5,7,44.868734
1.0,7,45.183891
1.5,7,45.192867
1.5,7,45.200846
1.5,7,45.533956
1.5,7,45.542931
1.5,7,45.549912
1.0,9,45.861117
2.5,8,45.870057
1.5,7,45.877039
1.5,7,46.190271
3.5,9,46.200218
1.5,7,46.507397
1.5,7,46.51737
1.5,7,46.524353
1.5,7,46.92129
1.5,8,46.930266
1.5,7,46.93625
1.5,7,47.242432
1.5,7,47.249456
1.5,7,47.257392
1.5,7,47.578533
1.5,7,47.584557
1.5,7,47.591542
1.5,7,47.904704
2.0,9,47.91368
1.0,8,47.921686
1.5,7,48.240833
3.5,9,48.248785
1.5,8,48.572918
1.0,7,48.578902
1.5,8,48.58688
1.5,7,48.908022
1.5,7,48.914006
1.0,7,48.91999
1.5,7,49.238167
1.5,7,49.244124
1.5,7,49.252103
1.5,7,49.567259
2.0,7,49.573243
1.5,7,49.581222
1.5,7,49.908347
2.5,8,49.915357
1.0,8,49.924306
1.5,7,50.237468
1.5,7,50.244449
1.5,8,50.254423
1.5,7,50.572572
1.5,7,50.581547
1.0,7,50.58853
1.5,7,50.90269
2.0,9,50.914657
1.5,7,51.226826
2.0,7,51.233831
1.5,7,51.24278
1.0,7,51.557937
2.0,7,51.564918
1.0,7,51.573894
2.0,7,51.884065
2.5,9,51.895036
1.5,7,51.902017
1.5,8,52.213186
1.5,7,52.222191
1.5,7,52.228146
1.0,8,52.531335
1.0,7,52.540311
2.5,8,52.547292
1.0,8,52.855498
1.5,8,52.863447
1.5,7,53.175613
2.0,7,53.186584
