#{"t_start": 1697445005.5672305, "env_id": null}
r,l,t
3.5,13,1.209764
5.0,12,1.511956
4.5,12,1.923854
3.5,13,1.938815
4.0,13,1.95178
5.0,12,2.469396
4.0,14,2.484356
4.0,16,2.885284
5.0,13,2.89728
4.0,14,3.295188
3.5,13,3.311146
3.5,13,3.323114
4.5,12,3.721065
4.0,13,3.736012
4.5,14,4.140927
5.5,13,4.155887
3.5,13,4.170875
4.0,12,4.56978
5.0,14,4.585738
4.5,13,4.980708
4.0,13,4.993651
4.5,13,5.00761
3.5,14,5.404549
4.0,15,5.418551
3.5,13,5.816487
4.5,12,5.830489
4.5,12,6.235367
4.0,14,6.252322
4.0,14,6.267282
3.5,14,6.662226
4.5,12,6.676188
4.5,13,7.073166
4.5,15,7.087103
4.0,12,7.102063
4.5,15,7.505983
3.0,16,7.519946
4.0,14,7.920873
3.0,13,7.934836
4.0,14,8.334767
4.0,13,8.350755
4.0,12,8.744708
4.5,13,8.758653
4.0,13,8.774601
4.0,15,9.260293
4.0,12,9.271273
4.5,13,9.675184
4.5,12,9.689178
5.0,12,9.702111
4.5,12,10.100048
3.0,13,10.113014
6.5,16,10.525941
4.5,13,10.539871
4.5,13,10.555866
4.0,12,10.95281
4.5,12,10.965775
3.5,13,11.363757
4.5,12,11.377673
5.0,13,11.391663
3.5,14,11.794567
4.0,13,11.80952
4.5,12,12.216431
4.5,13,12.229415
4.5,15,12.245365
4.5,12,12.648277
4.5,13,12.661245
4.5,13,13.061178
4.0,13,13.075164
4.5,13,13.0881
4.5,13,13.49202
4.5,14,13.507978
4.0,14,13.906912
4.5,12,13.920874
4.0,14,14.319808
4.5,15,14.334768
4.0,12,14.349728
4.0,14,14.75282
4.5,13,14.765729
4.5,12,15.15696
4.5,14,15.170923
5.0,16,15.559301
4.5,14,15.572266
3.5,13,15.584235
4.5,12,15.97444
4.0,12,15.985411
4.0,13,16.386259
3.5,14,16.400217
4.0,13,16.413815
4.0,13,16.810719
4.5,12,16.820777
4.5,13,17.307439
4.5,12,17.319408
4.5,14,17.335372
4.0,13,17.734932
3.5,13,17.748894
4.5,12,18.155807
3.5,14,18.172761
4.5,12,18.18377
4.0,14,18.593313
4.5,12,18.608272
4.0,12,19.008207
4.5,12,19.022166
4.5,13,19.035132
4.0,13,19.432688
4.5,13,19.447648
4.0,13,19.842239
