#{"t_start": 1695189751.3319716, "env_id": null}
r,l,t
22.0,78,1.554943
19.0,78,1.641753
23.0,90,2.139438
20.0,72,2.211245
19.5,79,2.66872
23.0,78,2.756498
22.0,79,3.212303
22.0,78,3.299131
19.5,79,3.757604
22.5,76,3.844455
24.0,84,4.300263
20.5,80,4.387051
21.5,81,4.852623
21.0,79,4.946373
22.0,74,5.397228
20.5,72,5.473983
22.5,75,5.556644
21.5,78,6.020404
20.0,74,6.101188
21.0,74,6.542733
21.5,81,6.629501
21.0,78,7.085305
21.0,80,7.170192
22.5,79,7.623702
19.0,76,7.708542
24.0,85,8.175368
20.0,77,8.258126
18.5,76,8.337922
23.0,79,8.787431
23.0,78,8.870237
22.5,78,9.324995
15.5,74,9.397799
20.5,77,9.853202
21.0,79,9.948015
19.5,71,10.5115
23.5,77,10.594015
22.5,86,11.05977
19.5,72,11.13857
20.5,81,11.225338
20.5,81,11.684879
23.0,83,11.777699
22.5,81,12.241432
19.5,73,12.319359
22.0,77,12.77491
15.0,74,12.85576
21.0,81,13.3166
22.5,82,13.404366
22.0,75,13.856202
21.5,73,13.949922
18.5,75,14.402746
19.0,77,14.486524
23.5,75,14.567995
21.0,84,15.036741
20.0,79,15.113563
25.0,80,15.569221
18.0,77,15.65106
20.5,77,16.118772
16.5,71,16.193571
25.0,81,16.645109
21.0,81,16.731909
23.5,84,17.193675
18.5,75,17.269533
22.0,84,17.733028
23.0,85,17.821785
20.5,82,18.287511
22.0,76,18.370289
19.0,73,18.447085
21.5,76,18.899523
24.0,82,18.985322
21.0,75,19.435157
20.0,76,19.518934
21.0,76,20.074696
26.0,83,20.161608
21.5,82,20.61348
22.0,77,20.688311
16.5,74,21.136083
20.0,77,21.218862
20.5,79,21.676668
23.0,75,21.757434
19.5,81,21.845243
20.5,81,22.320176
24.0,75,22.398949
24.0,84,22.863736
18.0,76,22.945487
17.5,73,23.397315
19.5,76,23.478158
20.0,78,23.957956
19.0,80,24.046719
20.5,77,24.503497
25.0,79,24.588322
21.0,75,25.044148
23.5,82,25.145876
18.5,82,25.599663
20.0,80,25.683524
20.5,76,25.763336
24.0,82,26.231071
17.0,79,26.308901
22.5,80,26.759658
17.5,81,26.845509
21.5,78,27.302273
21.5,82,27.390038
21.5,81,27.844918
20.5,79,27.931042
21.0,75,28.399478
20.0,80,28.487239
21.5,78,28.944828
20.0,76,29.027598
17.5,81,29.568888
22.0,80,29.657628
19.5,77,29.741511
19.5,79,30.202279
23.0,76,30.281157
23.5,80,30.735276
18.5,77,30.817087
23.5,84,31.282842
18.0,72,31.363675
20.5,74,31.812183
