#{"t_start": 1693877616.3824093, "env_id": null}
r,l,t
4.0,15,1.222839
3.0,12,1.508075
3.0,12,1.759465
2.5,13,1.775423
2.5,13,2.001338
2.5,15,2.016299
3.0,12,2.031266
2.5,13,2.261645
3.5,13,2.272615
2.0,13,2.503167
3.0,12,2.517197
3.5,12,2.529583
2.5,12,2.757011
2.5,13,2.769947
4.0,13,2.993351
4.0,14,3.010703
2.0,14,3.025221
2.0,14,3.252214
2.0,13,3.267546
4.0,14,3.507885
3.0,12,3.518856
3.0,12,3.532819
3.0,12,3.757145
2.0,13,3.772359
3.0,12,3.996717
2.5,13,4.009683
3.0,12,4.023212
3.0,12,4.248612
2.5,13,4.263572
2.5,13,4.488852
1.5,14,4.501801
2.5,13,4.516862
3.0,12,4.742291
3.0,12,4.75532
2.5,12,4.981259
3.5,12,4.995182
3.0,13,5.009189
3.0,12,5.239287
2.0,13,5.251615
2.0,13,5.267546
3.5,14,5.498981
3.0,12,5.509952
4.5,13,5.733993
4.0,17,5.752906
3.0,13,5.978245
3.5,12,5.990067
2.5,13,6.004159
3.0,13,6.227562
3.5,15,6.243089
2.5,13,6.47245
3.0,13,6.485563
2.5,14,6.715661
3.5,13,6.729903
3.0,13,6.741865
3.0,12,6.969282
2.5,13,6.983248
3.5,13,7.209656
3.0,12,7.223774
3.0,12,7.237241
2.5,14,7.462118
3.0,12,7.477081
3.5,13,7.707465
3.0,14,7.720432
3.0,12,7.734064
3.0,13,7.960484
2.0,14,7.976413
3.0,12,8.200814
4.0,13,8.212782
2.0,13,8.226862
2.5,14,8.45728
3.0,14,8.46905
3.0,12,8.693142
3.0,12,8.70711
2.5,14,8.719047
3.0,12,8.950457
3.0,12,8.965417
2.5,13,9.189783
3.0,13,9.204367
2.5,13,9.21833
2.5,14,9.445777
4.0,17,9.464738
3.5,13,9.690637
3.0,12,9.701103
3.5,15,9.932278
3.0,12,9.946154
3.0,14,9.959768
2.0,14,10.189768
2.5,13,10.205727
3.0,12,10.430163
3.0,12,10.443987
3.0,12,10.45776
2.5,13,10.684253
3.0,12,10.699186
3.0,12,10.920579
3.0,12,10.934946
3.0,12,10.948877
3.0,12,11.172894
3.0,12,11.185929
3.0,12,11.196881
3.0,14,11.432251
2.5,14,11.447247
2.5,15,11.673633
2.5,13,11.686571
2.5,12,11.912716
2.5,14,11.926686
3.5,14,11.942242
3.0,12,12.168638
3.0,14,12.182647
2.5,13,12.425893
2.5,15,12.442811
2.0,13,12.674893
3.0,12,12.685856
2.5,13,12.700784
3.0,12,12.927654
3.0,12,12.939916
1.5,15,13.171317
2.5,13,13.184319
3.5,13,13.198271
2.5,15,13.440589
2.5,13,13.452557
2.5,12,13.681944
3.5,14,13.697912
3.0,12,13.709607
3.0,12,13.940992
4.0,13,13.955838
2.5,12,14.178114
2.5,12,14.192958
3.0,12,14.20306
3.5,13,14.435452
3.0,12,14.449404
2.5,14,14.674662
2.5,13,14.688824
3.5,13,14.703758
3.0,16,14.932357
2.5,14,14.947248
2.5,14,15.177059
3.5,12,15.188041
3.0,14,15.415653
3.0,14,15.431504
2.0,13,15.442683
3.0,13,15.668107
3.0,12,15.682047
3.0,13,15.908427
4.0,13,15.922404
3.0,13,15.935328
3.0,16,16.1697
3.0,12,16.182805
3.0,13,16.420871
2.0,13,16.43334
3.0,12,16.447862
3.0,13,16.788156
2.5,13,16.80258
3.0,12,17.028462
4.0,14,17.0429
3.0,12,17.053816
3.5,14,17.305144
3.0,12,17.316115
3.0,12,17.548825
4.0,13,17.563459
2.5,14,17.577397
4.0,13,17.809774
2.0,13,17.823737
3.5,13,18.052161
3.5,15,18.068295
5.0,14,18.295714
2.0,13,18.30878
3.5,15,18.325759
3.0,12,18.564105
4.0,16,18.581321
3.0,12,18.809725
4.0,13,18.825238
4.0,13,19.055842
3.5,13,19.068844
2.0,14,19.082944
4.5,15,19.31635
3.0,14,19.329957
2.0,13,19.555649
3.5,14,19.572584
4.0,17,19.811116
3.0,16,19.826211
2.5,15,20.059494
2.0,13,20.073186
3.0,12,20.084713
2.0,13,20.313241
3.0,14,20.328207
4.0,13,20.566564
3.0,12,20.580498
2.0,13,20.599447
3.0,13,20.825871
2.5,13,20.841706
4.5,14,21.07928
3.0,13,21.092367
3.5,13,21.106727
3.0,12,21.339143
3.5,13,21.353574
2.5,13,21.581975
3.0,12,21.593544
3.0,14,21.607509
4.0,13,21.838278
3.0,12,21.84794
2.0,13,22.082356
2.5,13,22.098064
3.0,14,22.326411
3.5,12,22.340374
3.0,12,22.353026
3.0,12,22.584425
3.0,12,22.597234
3.0,13,22.609204
4.0,15,22.846467
3.5,12,22.859292
3.5,14,23.089958
2.5,13,23.103621
2.5,13,23.342294
3.0,12,23.354253
3.0,12,23.368187
3.0,12,23.618518
2.5,14,23.632507
